good,group,k_factor
cloth,basic_clothing,1.0
leather,basic_clothing,1.0
lumber,crude_goods,1.0
masonry,crude_goods,1.0
tools,crude_goods,1.0
pottery,crude_goods,1.0
wheat,staple,1.0
rice,staple,1.0
millet,staple,1.0
maize,staple,1.0
potato,staple,1.0
legumes,staple,1.0
fish,luxury_food,1.0
sugar,condiments,1.0
salt,condiments,1.0
olives,condiments,1.0
lumber,heating,1.0
coal,heating,1.0
beeswax,heating,1.0
furniture,household,1.0
pottery,household,1.0
glass,household,1.0
paper,household,1.0
beeswax,household,1.0
cloth,standard_clothing,1.0
fine_cloth,standard_clothing,1.0
wine,intoxicants,1.0
beer,intoxicants,1.0
liquor,intoxicants,1.0
tobacco,intoxicants,1.0
tea,luxury_drinks,1.0
coffee,luxury_drinks,1.0
wine,luxury_drinks,1.0
cocoa,luxury_drinks,1.0
wild_game,luxury_food,1.0
fruit,luxury_food,1.0
fine_cloth,luxury_goods,1.0
fur,luxury_goods,1.0
porcelain,luxury_goods,1.0
lacquerware,luxury_goods,1.0
marble,luxury_goods,1.0
glass,luxury_goods,1.0
fish,protein,1.0
wild_game,protein,1.0
livestock,protein,1.0
saffron,spices,1.0
pepper,spices,1.0
cloves,spices,1.0
chili,spices,1.0
goods_gold,precious,1.0
silver,precious,1.0
jewelry,precious,1.0
amber,treasures,1.0
gems,treasures,1.0
ivory,treasures,1.0
pearls,treasures,1.0
medicaments,medicine,1.0
mercury,medicine,1.0
incense,ritual,1.0
mercury,ritual,1.0
weaponry,weapons,1.0
firearms,weapons,1.0
horses,mounts,1.0
elephants,mounts,1.0
paper,knowledge,1.0
books,knowledge,1.0
